s.no,Compound_ID,Docking_Score
1,Arnicolide C,-7.29
2,Arzanol,-7.111
3,Compound 105,-7.266
4,Compound 109,-7.713
5,Compound 115,-7.678
6,Compound 123,-7.041
7,Compound 124,-7.154
8,Compound 131,-7.708
9,Compound 133,-9.847
10,Compound 135,-7.624
11,Compound 138,-10.55
12,Compound 139,-7.177
13,Compound 144,-7.663
14,Compound 145,-7.132
15,Compound 148,-7.04
16,Compound 163,-7.005
17,Compound 177,-7.283
18,Compound 180,-7.547
19,Compound 184,-7.079
20,Compound 192,-7.19
21,Compound 193,-7.935
22,Compound 194,-7.263
23,Compound 200,-10.02
24,Compound 203,-7.31
25,Compound 207,-7.495
26,Compound 208,-7.975
27,Compound 218,-7.404
28,Compound 228,-7.021
29,Compound 24,-7.061
30,Compound 250,-7.074
31,Compound 251,-7.51
32,Compound 264,-7.737
33,Compound 270,-7.174
34,Compound 271,-7.032
35,Compound 286,-7.497
36,Compound 304,-7.06
37,Compound 305,-7.584
38,Compound 311,-7.164
39,Compound 312,-7.529
40,Compound 320,-7.056
41,Compound 333,-7.453
42,Compound 340,-7.277
43,Compound 343,-7.533
44,Compound 348,-7.398
45,Compound 350,-7.76
46,Compound 351,-8.019
47,Compound 353,-7.37
48,Compound 357,-7.919
49,Compound 359,-8.046
50,Compound 367,-7.048
51,Compound 375,-7.01
52,Compound 380,-7.111
53,Compound 387,-13.93
54,Compound 391,-10.21
55,Compound 394,-7.352
56,Compound 395,-7.292
57,Compound 402,-7.843
58,Compound 406,-7.17
59,Compound 407,-7.532
60,Compound 409,-7.083
61,Compound 410,-8.093
62,Compound 414,-7.057
63,Compound 420,-7.626
64,Compound 425,-7.082
65,Compound 426,-7.065
66,Compound 435,-8.26
67,Compound 440,-8.678
68,Compound 454,-7.123
69,Compound 464,-7.555
70,Compound 466,-7.589
71,Compound 468,-7.001
72,Compound 469,-7.509
73,Compound 475,-7.233
74,Compound 476,-7.452
75,Compound 477,-7.128
76,Compound 478,-7.172
77,Compound 491,-7.515
78,Compound 503,-7.006
79,Compound 507,-7.047
80,Compound 520,-9.654
81,Compound 524,-7.392
82,Compound 52,-7.126
83,Compound 533,-13.58
84,Compound 542,-7.403
85,Compound 547,-7.487
86,Compound 548,-7.319
87,Compound 553,-7.503
88,Compound 554,-7.066
89,Compound 62,-7.763
90,Compound 65,-7.143
91,Compound 6,-7.605
92,Compound 78,-7.047
93,Compound 86,-7.587
94,Compound 88,-7.004
95,Compound 90,-7.031
96,Compound 99,-7.626
97,Paulownin,-7.681
