ClbQ_vina_results,,,,ClbP_vina_results,,
Compound,139.pdbqt_log.txt:,-9.838,,Paulownin.pdbqt_log.log.txt:,,-9.97
Compound,367.pdbqt_log.txt:,-9.76,,Compound,108.pdbqt_log.log.txt:,-9.947
Compound,257.pdbqt_log.txt:,-9.716,,Compound,370.pdbqt_log.log.txt:,-9.873
Compound,436.pdbqt_log.txt:,-9.704,,Compound,391.pdbqt_log.log.txt:,-9.868
Compound,391.pdbqt_log.txt:,-9.617,,Compound,260.pdbqt_log.log.txt:,-9.856
Compound,184.pdbqt_log.txt:,-9.601,,Compound,545.pdbqt_log.log.txt:,-9.825
Compound,69.pdbqt_log.txt:,-9.54,,Compound,332.pdbqt_log.log.txt:,-9.807
Compound,42.pdbqt_log.txt:,-9.488,,Compound,406.pdbqt_log.log.txt:,-9.691
Compound,58.pdbqt_log.txt:,-9.48,,Genkwanin.pdbqt_log.log.txt:,,-9.669
Compound,420.pdbqt_log.txt:,-9.466,,Compound,503.pdbqt_log.log.txt:,-9.668
Compound,332.pdbqt_log.txt:,-9.46,,Compound,414.pdbqt_log.log.txt:,-9.639
Compound,545.pdbqt_log.txt:,-9.46,,Compound,92.pdbqt_log.log.txt:,-9.627
Compound,226.pdbqt_log.txt:,-9.442,,Compound,252.pdbqt_log.log.txt:,-9.602
Compound,138.pdbqt_log.txt:,-9.435,,Compound,223.pdbqt_log.log.txt:,-9.592
Compound,357.pdbqt_log.txt:,-9.434,,Compound,298.pdbqt_log.log.txt:,-9.578
Compound,200.pdbqt_log.txt:,-9.394,,Compound,42.pdbqt_log.log.txt:,-9.57
Compound,409.pdbqt_log.txt:,-9.383,,Compound,436.pdbqt_log.log.txt:,-9.569
Compound,92.pdbqt_log.txt:,-9.383,,Compound,33.pdbqt_log.log.txt:,-9.552
Compound,369.pdbqt_log.txt:,-9.379,,Compound,531.pdbqt_log.log.txt:,-9.528
Compound,426.pdbqt_log.txt:,-9.378,,Compound,529.pdbqt_log.log.txt:,-9.527
Compound,228.pdbqt_log.txt:,-9.364,,Compound,447.pdbqt_log.log.txt:,-9.525
Compound,529.pdbqt_log.txt:,-9.362,,Compound,154.pdbqt_log.log.txt:,-9.51
Compound,236.pdbqt_log.txt:,-9.325,,Compound,5.pdbqt_log.log.txt:,-9.5
Compound,155.pdbqt_log.txt:,-9.31,,Compound,226.pdbqt_log.log.txt:,-9.485
Compound,503.pdbqt_log.txt:,-9.3,,Compound,325.pdbqt_log.log.txt:,-9.471
Compound,187.pdbqt_log.txt:,-9.296,,Compound,138.pdbqt_log.log.txt:,-9.469
Compound,290.pdbqt_log.txt:,-9.296,,Compound,208.pdbqt_log.log.txt:,-9.463
Compound,178.pdbqt_log.txt:,-9.295,,Compound,146.pdbqt_log.log.txt:,-9.46
